crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
rmp,with_native,6501022,5977,954,5956,75488,422,198232,196614,1.1612,7.3511,1.1380,0.0000,6.0886,7.3511,0.9706,0.0000,3.0303,1.0162
ron,with_native,6006982,50561,4930,50537,99076,2746,56893,9719,1.6493,5.0302,0.2128,0.0000,4.9486,5.0302,0.2918,0.0000,4.3171,0.8385
rust-openssl,with_native,2823305,10505,2464,10447,77518,1617,2153,18853,2.7456,12.7534,0.0000,0.0000,12.4682,12.7534,0.0000,0.0000,8.1293,0.0167
rustc-demangle,with_native,5243314,3129,584,3129,85616,26,458758,558762,1.6329,0.1330,3.1519,0.0000,0.7002,0.1330,2.3268,0.0000,0.9293,2.8922
scroll,with_native,667438,3706,368,3688,24,2,0,2,0.0036,0.0504,0.0000,0.0000,0.0491,0.0504,0.0000,0.0000,0.0363,0.0273
semver,with_native,17261955,4016,302,4016,11274611,526,3416,762,65.3148,12.3498,0.0000,66.6667,12.1816,12.3498,0.0000,66.6667,60.2207,0.0703
serde_with,with_native,53946542,533046,17585,147862,15579827,162434,1896159,764802,28.8801,29.5233,24.1223,33.3333,29.4996,29.5233,24.5114,37.0370,29.4020,2.7443
serde_yaml,with_native,34138558,42262,1118,42262,33253309,29692,64938080,638113,97.4069,67.7253,85.7798,44.4444,68.4463,67.7253,94.3055,61.5385,83.7038,26.6897
sharded-slab,with_native,1255163631,1293790,26083,1293767,1214496492,11433,7497141,155155,96.7600,0.5806,24.7528,99.7996,0.8662,0.5806,48.1939,99.9836,63.3574,0.0619
signal-hook,with_native,359276,2092,110,2077,40708,154,1786,309,11.3306,7.0796,3.6364,0.0000,6.9936,7.0796,1.7857,0.0000,6.0732,1.4483
